data_split,metric,value
locked_test,sample_count,805126.0
locked_test,actual_propagations,49038.0
locked_test,actual_propagation_rate,0.06090723687969336
locked_test,alert_count,54058.0
locked_test,alert_rate,0.06714228580371272
locked_test,threshold,0.47
locked_test,accuracy,0.9760285967662204
locked_test,precision,0.7750564208812757
locked_test,recall,0.8543986296341612
locked_test,f1,0.812795840769768
locked_test,roc_auc,0.9913577259241774
locked_test,pr_auc,0.9029542982018209
locked_test,log_loss,0.05425660312175751
locked_test,brier_score,0.01639801636338234
locked_test,true_negative,743928.0
locked_test,false_positive,12160.0
locked_test,false_negative,7140.0
locked_test,true_positive,41898.0
locked_test,feature_count,24.0
locked_test,locked_test_prediction_passes,1.0
