ERROR_GROUP,STATISTIC,PROPAGATION_PROBABILITY,PREV_ARR_DELAY,TURN_BUFFER,PREV_DELAY_RATIO,PLANNED_TURNAROUND,EDGE_COUNT
P4_ACTUAL_PROPAGATION,count,3185.0,3185.0,3185.0,3185.0,3185.0,3185.0
P4_ACTUAL_PROPAGATION,mean,0.08374861627817154,14.690423861852434,46.915227629513346,0.24329950591930924,63.31554160125589,0.0
P4_ACTUAL_PROPAGATION,median,0.08077026158571243,16.0,41.0,0.2857143,55.0,0.0
P4_ACTUAL_PROPAGATION,min,0.00032049865694716573,-36.0,30.0,0.0,30.0,0.0
P4_ACTUAL_PROPAGATION,max,0.19994178414344788,192.0,210.0,0.85333335,240.0,0.0
P1_NON_PROPAGATION,count,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0
P1_NON_PROPAGATION,mean,0.882622480392456,91.4,-36.434860050890585,1.771893046287532,54.97862595419847,0.9697201017811705
P1_NON_PROPAGATION,median,0.8877633810043335,69.0,-14.0,1.2666667,50.0,1.0
P1_NON_PROPAGATION,min,0.8000627160072327,-12.0,-1374.0,0.0,1.0,0.0
P1_NON_PROPAGATION,max,0.9609470963478088,1442.0,15.0,47.5,234.0,6.0
P3_ACTUAL_PROPAGATION,count,11426.0,11426.0,11426.0,11426.0,11426.0,11426.0
P3_ACTUAL_PROPAGATION,mean,0.4341256320476532,28.074741816908805,26.0242429546648,0.481661786100035,54.73183966392438,0.276474706809032
P3_ACTUAL_PROPAGATION,median,0.4249127209186554,26.0,26.0,0.5,52.0,0.0
P3_ACTUAL_PROPAGATION,min,0.00996469333767891,-39.0,-1.0,0.0,1.0,0.0
P3_ACTUAL_PROPAGATION,max,0.7993850708007812,215.0,120.0,1.1666666,238.0,1.0
