iata_code,ALERTED_ROTATION_EXPOSURE,MEAN_PROPAGATION_PROBABILITY,latitude_deg,longitude_deg,name,municipality,iso_country,type
DEN,6363,0.81219625,39.860027,-104.673792,Denver International Airport,Denver,US,large_airport
LAS,6074,0.8189865,36.083361,-115.151817,Harry Reid International Airport,Las Vegas,US,large_airport
DFW,5840,0.827634,32.896801,-97.038002,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,large_airport
ATL,3978,0.81737024,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,Atlanta,US,large_airport
PHX,3974,0.8214612,33.435302,-112.005905,Phoenix Sky Harbor International Airport,Phoenix,US,large_airport
ORD,3925,0.7587836,41.9786,-87.9048,Chicago O'Hare International Airport,Chicago,US,large_airport
BOS,3689,0.8678646,42.36197,-71.0079,Boston Logan International Airport,Boston,US,large_airport
CLT,3586,0.8696572,35.2140007019043,-80.94309997558594,Charlotte Douglas International Airport,Charlotte,US,large_airport
MCO,3549,0.8271227,28.429399490356445,-81.30899810791016,Orlando International Airport,Orlando,US,large_airport
LAX,3254,0.79613906,33.942501,-118.407997,Los Angeles International Airport,Los Angeles,US,large_airport
LGA,2728,0.84987456,40.777199,-73.872597,LaGuardia Airport,New York,US,large_airport
SEA,2589,0.7807521,47.447943,-122.310276,Seattle–Tacoma International Airport,Seattle,US,large_airport
JFK,2524,0.8737667,40.639447,-73.779317,John F. Kennedy International Airport,New York,US,large_airport
AUS,2511,0.83550763,30.197535,-97.662015,Austin Bergstrom International Airport,Austin,US,large_airport
SAN,2508,0.8332537,32.733601,-117.190002,San Diego International Airport,San Diego,US,large_airport
MDW,2491,0.82306546,41.785999,-87.752403,Chicago Midway International Airport,Chicago,US,large_airport
BNA,2401,0.83077407,36.1245,-86.6782,Nashville International Airport,Nashville,US,large_airport
DCA,2367,0.8685439,38.8521,-77.037697,Ronald Reagan Washington National Airport,Washington,US,large_airport
SFO,2325,0.8012055,37.619806,-122.374821,San Francisco International Airport,San Francisco,US,large_airport
BWI,2282,0.82004917,39.1754,-76.668297,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US,large_airport
DAL,2078,0.82772225,32.844776,-96.847653,Dallas Love Field,Dallas,US,large_airport
PHL,2000,0.85607016,39.871899,-75.241096,Philadelphia International Airport,Philadelphia,US,large_airport
FLL,1834,0.80234665,26.072599,-80.152702,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US,large_airport
MIA,1619,0.82590944,25.796011,-80.289751,Miami International Airport,Miami,US,large_airport
TPA,1612,0.8380028,27.9755,-82.533203,Tampa International Airport,Tampa,US,large_airport
EWR,1609,0.8449648,40.6894,-74.170545,Newark Liberty International Airport,Newark,US,large_airport
STL,1598,0.8279676,38.748697,-90.370003,St. Louis Lambert International Airport,St Louis,US,large_airport
IAH,1562,0.8044718,29.9844,-95.3414,George Bush Intercontinental Airport,Houston,US,large_airport
HOU,1533,0.81485987,29.645336,-95.276812,William P. Hobby Airport,Houston,US,large_airport
DTW,1531,0.817974,42.21377,-83.353786,Detroit Metropolitan Wayne County Airport,Detroit,US,large_airport
SMF,1486,0.8126887,38.6954,-121.591003,Sacramento International Airport,Sacramento,US,large_airport
SJC,1398,0.8276913,37.362452,-121.929188,Norman Y. Mineta San Jose International Airport,San Jose,US,large_airport
RDU,1387,0.8670677,35.878659,-78.7873,Raleigh-Durham International Airport,Raleigh/Durham,US,large_airport
OAK,1330,0.81919664,37.720085,-122.221184,Oakland San Francisco Bay Airport,Oakland,US,large_airport
SLC,1311,0.81551546,40.78886,-111.979866,Salt Lake City International Airport,Salt Lake City,US,large_airport
MSP,1249,0.8277134,44.880081,-93.221741,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US,large_airport
MCI,1213,0.8315848,39.301699,-94.713893,Kansas City International Airport,Kansas City,US,large_airport
MSY,1145,0.8348966,29.993401,-90.264673,Louis Armstrong New Orleans International Airport,New Orleans,US,large_airport
PDX,1060,0.7918768,45.588699,-122.598,Portland International Airport,Portland,US,large_airport
SNA,1005,0.81262636,33.675063,-117.869281,John Wayne Orange County International Airport,Santa Ana,US,large_airport
SAT,946,0.83515066,29.533701,-98.469803,San Antonio International Airport,San Antonio,US,large_airport
BUR,901,0.82743776,34.202834,-118.35805,Hollywood Burbank/Bob Hope Airport,Burbank,US,large_airport
CLE,874,0.8442697,41.411701,-81.8498,Cleveland Hopkins International Airport,Cleveland,US,large_airport
IND,854,0.82305396,39.7173,-86.294403,Indianapolis International Airport,Indianapolis,US,large_airport
PIT,771,0.8330976,40.491501,-80.232903,Pittsburgh International Airport,Pittsburgh,US,large_airport
CMH,739,0.8376827,39.998001,-82.891899,John Glenn Columbus International Airport,Columbus,US,large_airport
CVG,704,0.85971147,39.048801,-84.667801,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,US,large_airport
ABQ,660,0.82113475,35.039976,-106.608925,Albuquerque International Sunport,Albuquerque,US,large_airport
ONT,654,0.84162396,34.056,-117.600998,Ontario International Airport,Ontario,US,large_airport
MKE,577,0.824119,42.947201,-87.896599,General Mitchell International Airport,Milwaukee,US,large_airport
RSW,575,0.8564304,26.534685,-81.752816,Southwest Florida International Airport,Fort Myers,US,large_airport
JAX,567,0.8763348,30.492469,-81.687813,Jacksonville International Airport,Jacksonville,US,large_airport
RNO,562,0.8298201,39.4991,-119.767998,Reno Tahoe International Airport,Reno,US,large_airport
CHS,557,0.84054136,32.896159,-80.038151,Charleston International Airport,Charleston,US,large_airport
BUF,557,0.86806065,42.940498,-78.732201,Buffalo Niagara International Airport,Buffalo,US,large_airport
ELP,523,0.8332353,31.809908,-106.375607,El Paso International Airport,El Paso,US,large_airport
IAD,506,0.8572778,38.9445,-77.455803,Washington Dulles International Airport,Dulles,US,large_airport
LGB,505,0.8265516,33.816523,-118.149891,Long Beach International Airport,Long Beach,US,large_airport
OMA,473,0.80522645,41.3032,-95.894096,Eppley Airfield,Omaha,US,large_airport
OKC,455,0.7849992,35.393388,-97.598248,OKC Will Rogers World Airport,Oklahoma City,US,large_airport
PBI,453,0.85771877,26.683201,-80.095596,President Donald J. Trump International Airport,West Palm Beach,US,large_airport
TUL,428,0.8046102,36.197084,-95.886225,Tulsa International Airport,Tulsa,US,large_airport
ORF,367,0.84588605,36.895341,-76.201,Norfolk International Airport,Norfolk,US,large_airport
MEM,364,0.81109,35.043845,-89.97634,Frederick W. Smith International Airport,Memphis,US,large_airport
SDF,364,0.82075995,38.1706,-85.735076,Louisville Muhammad Ali International Airport,Louisville,US,large_airport
BDL,353,0.8652267,41.938555,-72.688016,Bradley International Airport,Hartford,US,large_airport
AVL,343,0.86476475,35.435488,-82.541853,Asheville Regional Airport,Asheville,US,medium_airport
BOI,340,0.7846388,43.5644,-116.223,Boise Air Terminal/Gowen Field,Boise,US,large_airport
SAV,329,0.83803254,32.126591,-81.19998,Savannah Hilton Head International Airport,Savannah,US,large_airport
RIC,315,0.81656504,37.505199,-77.319702,Richmond International Airport,Richmond,US,large_airport
DSM,315,0.8267182,41.534027,-93.656719,Des Moines International Airport,Des Moines,US,large_airport
TUS,313,0.80501425,32.115004,-110.938053,Tucson International Airport,Tucson,US,large_airport
GRR,305,0.80661684,42.880798,-85.522797,Gerald R. Ford International Airport,Grand Rapids,US,large_airport
BHM,304,0.80524266,33.562877,-86.750712,Birmingham-Shuttlesworth International Airport,Birmingham,US,large_airport
PVD,302,0.8369095,41.725038,-71.425668,Rhode Island T. F. Green International Airport,Providence/Warwick,US,large_airport
GEG,300,0.7748138,47.6199,-117.533997,Spokane International Airport,Spokane,US,large_airport
COS,282,0.7997729,38.805801,-104.700996,City of Colorado Springs Municipal Airport,Colorado Springs,US,large_airport
TYS,279,0.7967221,35.811001,-83.994003,McGhee Tyson Airport,Knoxville/Maryville,US,large_airport
HPN,269,0.8450083,41.06700134277344,-73.70760345458984,Westchester County Airport,White Plains,US,medium_airport
LIT,264,0.78059417,34.729222,-92.223591,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,US,medium_airport
SRQ,261,0.8572275,27.394631,-82.554359,Sarasota Bradenton International Airport,Sarasota/Bradenton,US,large_airport
FAT,252,0.80071187,36.775767,-119.718018,Fresno Yosemite International Airport,Fresno,US,large_airport
MYR,250,0.7867962,33.679699,-78.928299,Myrtle Beach International Airport,Myrtle Beach,US,large_airport
ROC,241,0.8365462,43.1189,-77.672401,Frederick Douglass Greater Rochester International Airport,Rochester,US,large_airport
PWM,236,0.86480623,43.646198,-70.309303,Portland International Jetport,Portland,US,large_airport
SYR,231,0.862678,43.11119842529297,-76.1063003540039,Syracuse Hancock International Airport,Syracuse,US,large_airport
SFB,229,0.86471784,28.774277,-81.234626,Orlando Sanford International Airport,Orlando,US,large_airport
ALB,223,0.8359144,42.748299,-73.801697,Albany International Airport,Albany,US,large_airport
XNA,213,0.8220651,36.281898,-94.306801,Northwest Arkansas National Airport,Fayetteville/Springdale/Rogers,US,medium_airport
PNS,212,0.8336601,30.472718,-87.186639,Pensacola International Airport,Pensacola,US,large_airport
ICT,188,0.8042593,37.650314,-97.428583,Wichita Dwight D. Eisenhower National Airport,Wichita,US,medium_airport
PSP,187,0.78974354,33.8297,-116.507004,Palm Springs International Airport,Palm Springs,US,large_airport
GSP,185,0.82495916,34.895699,-82.218903,Greenville-Spartanburg International Airport,Greenville/Greer/Spartanburg,US,medium_airport
MAF,185,0.8207324,31.942499,-102.202003,Midland International Air and Space Port,Midland,US,medium_airport
SBA,177,0.833933,34.426201,-119.839996,Santa Barbara Municipal Airport,Santa Barbara,US,medium_airport
MSN,174,0.8531232,43.1399,-89.337502,Dane County Regional Truax Field,Madison,US,medium_airport
LBB,171,0.8497892,33.663601,-101.822998,Lubbock Preston Smith International Airport,Lubbock,US,medium_airport
VPS,169,0.8508983,30.481315,-86.515839,Destin-Fort Walton Beach Airport,Valparaiso,US,medium_airport
BZN,152,0.8067617,45.778853,-111.153711,Bozeman Yellowstone International Airport,Bozeman,US,medium_airport
PIE,147,0.85095555,27.9102,-82.687401,St. Petersburg Clearwater International Airport,Pinellas Park,US,large_airport
GSO,143,0.8719606,36.09937,-79.937262,Piedmont Triad International Airport,Greensboro,US,large_airport
MHT,137,0.8275804,42.932598,-71.435699,Manchester-Boston Regional Airport,Manchester,US,medium_airport
EUG,133,0.82449394,44.124599,-123.211998,Eugene Airport,Eugene,US,medium_airport
SGF,124,0.75691324,37.245047,-93.388596,Springfield Branson National Airport,Springfield,US,medium_airport
JAN,122,0.83989674,32.311199,-90.075897,Jackson-Medgar Wiley Evers International Airport,Jackson,US,medium_airport
LEX,117,0.7818464,38.035066,-84.606738,Blue Grass Airport,Lexington,US,medium_airport
ECP,113,0.86087984,30.357106,-85.795414,Northwest Florida Beaches International Airport,Panama City Beach,US,medium_airport
HSV,111,0.83815867,34.636244,-86.774378,Huntsville International Airport,Huntsville,US,medium_airport
CID,109,0.80542386,41.884701,-91.7108,The Eastern Iowa Airport,Cedar Rapids,US,medium_airport
AMA,109,0.82360065,35.217857,-101.706444,Rick Husband Amarillo International Airport,Amarillo,US,medium_airport
BTV,105,0.86447316,44.471901,-73.153297,Patrick Leahy Burlington International Airport,Burlington,US,medium_airport
ISP,105,0.83182067,40.796324,-73.101703,Long Island MacArthur Airport,Islip,US,medium_airport
DAY,104,0.8127608,39.902401,-84.219398,James M. Cox Dayton International Airport,Dayton,US,medium_airport
CRP,101,0.8248071,27.770399,-97.501198,Corpus Christi International Airport,Corpus Christi,US,medium_airport
FSD,100,0.7992726,43.585463,-96.741152,Sioux Falls Regional Airport,Sioux Falls,US,medium_airport
ILM,99,0.88555914,34.272345,-77.905117,Wilmington International Airport,Wilmington,US,medium_airport
BGR,98,0.86420363,44.806364,-68.826668,Bangor International Airport,Bangor,US,medium_airport
TTN,95,0.89482117,40.276699,-74.813499,Trenton Mercer Airport,Ewing Township,US,medium_airport
CAE,90,0.8554579,33.938172,-81.123022,Columbia Metropolitan Airport,Columbia,US,medium_airport
AZA,90,0.84446096,33.3078,-111.654999,Mesa Gateway Airport,Mesa,US,medium_airport
PGD,88,0.84163153,26.9202,-81.990501,Punta Gorda Airport,Punta Gorda,US,medium_airport
ASE,85,0.55937916,39.223202,-106.869003,Aspen-Pitkin County Airport (Sardy Field),Aspen,US,medium_airport
FAR,84,0.7721793,46.9207,-96.815804,Hector International Airport,Fargo,US,medium_airport
SBN,84,0.6619786,41.708304,-86.316922,South Bend International Airport,South Bend,US,medium_airport
SBP,83,0.65515745,35.2368011475,-120.641998291,San Luis County Regional Airport,San Luis Obispo,US,medium_airport
TLH,79,0.8485003,30.401209,-84.35433,Tallahassee International Airport,Tallahassee,US,medium_airport
PVU,78,0.8924089,40.218894,-111.722445,Provo Municipal Airport,Provo,US,medium_airport
CHA,77,0.8522849,35.035301,-85.203796,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,US,medium_airport
BTR,77,0.80703485,30.533199,-91.149597,Baton Rouge Metropolitan Airport,Baton Rouge,US,medium_airport
STS,77,0.68745047,38.50899887,-122.8130035,Charles M. Schulz Sonoma County Airport,Santa Rosa,US,medium_airport
ACK,75,0.90456134,41.25310135,-70.06020355,Nantucket Memorial Airport,Nantucket,US,medium_airport
MDT,74,0.85489917,40.192838,-76.762333,Harrisburg International Airport,Harrisburg,US,medium_airport
ATW,73,0.6888721,44.258515,-88.519,Appleton International Airport,Appleton,US,medium_airport
HRL,73,0.81708103,26.228500366210938,-97.65440368652344,Valley International Airport,Harlingen,US,medium_airport
ABE,72,0.75636613,40.651773,-75.442797,Lehigh Valley International Airport,Allentown/Bethlehem,US,medium_airport
RAP,67,0.75297636,44.0452995300293,-103.05699920654295,Rapid City Regional Airport,Rapid City,US,medium_airport
SHV,67,0.7424382,32.444747,-93.826741,Shreveport Regional Airport,Shreveport,US,medium_airport
PIA,67,0.7031786,40.663841,-89.692631,General Wayne A. Downing Peoria International Airport,Peoria,US,medium_airport
FWA,67,0.71942836,40.978896,-85.194465,Fort Wayne International Airport,Fort Wayne,US,medium_airport
CAK,66,0.72562116,40.91609954833984,-81.44219970703125,Akron Canton Regional Airport,Akron,US,medium_airport
