ORIGIN,DESTINATION,ALERT_COUNT,MEAN_PROPAGATION_PROBABILITY,MAX_PROPAGATION_PROBABILITY,ORIGIN_latitude_deg,ORIGIN_longitude_deg,DESTINATION_latitude_deg,DESTINATION_longitude_deg
LAS,LAX,179,0.8193674,0.993052,36.083361,-115.151817,33.942501,-118.407997
DEN,LAS,165,0.8368277,0.9920691,39.860027,-104.673792,36.083361,-115.151817
LAS,DEN,155,0.84530514,0.99071044,36.083361,-115.151817,39.860027,-104.673792
SFO,LAX,149,0.79386437,0.99181056,37.619806,-122.374821,33.942501,-118.407997
LAS,SAN,148,0.8498527,0.98919195,36.083361,-115.151817,32.733601,-117.190002
SAN,LAS,142,0.8263018,0.98600084,32.733601,-117.190002,36.083361,-115.151817
LAX,LAS,136,0.8192016,0.99411726,33.942501,-118.407997,36.083361,-115.151817
LAS,PHX,133,0.8391751,0.99318886,36.083361,-115.151817,33.435302,-112.005905
DEN,PHX,129,0.8487603,0.9942092,39.860027,-104.673792,33.435302,-112.005905
SAN,SMF,128,0.8229544,0.9822969,32.733601,-117.190002,38.6954,-121.591003
DCA,BOS,125,0.89521474,0.99325424,38.8521,-77.037697,42.36197,-71.0079
BOS,DCA,124,0.8957388,0.99587506,42.36197,-71.0079,38.8521,-77.037697
SMF,LAS,123,0.796814,0.9863275,38.6954,-121.591003,36.083361,-115.151817
SFO,LAS,120,0.8674764,0.9927101,37.619806,-122.374821,36.083361,-115.151817
LAX,SFO,118,0.81336504,0.9926611,33.942501,-118.407997,37.619806,-122.374821
LAS,SMF,118,0.75536793,0.98662424,36.083361,-115.151817,38.6954,-121.591003
SAN,SJC,115,0.81603134,0.98334634,32.733601,-117.190002,37.362452,-121.929188
LAS,SEA,113,0.8123037,0.98079807,36.083361,-115.151817,47.447943,-122.310276
SFO,SAN,111,0.8553011,0.9930379,37.619806,-122.374821,32.733601,-117.190002
PHX,DEN,109,0.8258747,0.98992515,33.435302,-112.005905,39.860027,-104.673792
LAS,RNO,109,0.8566671,0.9867191,36.083361,-115.151817,39.4991,-119.767998
MCO,ATL,108,0.8531526,0.9903296,28.429399490356445,-81.30899810791016,33.6367,-84.428101
LGA,BOS,105,0.9152657,0.9924366,40.777199,-73.872597,42.36197,-71.0079
SAN,SFO,105,0.84053844,0.9921063,32.733601,-117.190002,37.619806,-122.374821
LAS,SFO,105,0.8406697,0.9920873,36.083361,-115.151817,37.619806,-122.374821
SAN,PHX,105,0.8708376,0.9918453,32.733601,-117.190002,33.435302,-112.005905
DFW,DEN,101,0.8724634,0.9926987,32.896801,-97.038002,39.860027,-104.673792
SJC,SAN,99,0.84048206,0.9855261,37.362452,-121.929188,32.733601,-117.190002
PHX,LAS,97,0.83775914,0.9921604,33.435302,-112.005905,36.083361,-115.151817
LAS,OAK,97,0.7947948,0.9855817,36.083361,-115.151817,37.720085,-122.221184
SLC,DEN,96,0.8435883,0.9912832,40.78886,-111.979866,39.860027,-104.673792
BUR,LAS,96,0.8186772,0.9878498,34.202834,-118.35805,36.083361,-115.151817
LGA,ATL,96,0.8575213,0.9871969,40.777199,-73.872597,33.6367,-84.428101
RDU,BOS,96,0.9113249,0.9830215,35.878659,-78.7873,42.36197,-71.0079
LAS,BUR,95,0.845016,0.98662424,36.083361,-115.151817,34.202834,-118.35805
LAX,JFK,94,0.86300343,0.9920167,33.942501,-118.407997,40.639447,-73.779317
BOS,BWI,94,0.88086367,0.9811018,42.36197,-71.0079,39.1754,-76.668297
MCO,JFK,93,0.9079754,0.98931074,28.429399490356445,-81.30899810791016,40.639447,-73.779317
SEA,LAS,92,0.762126,0.9875207,47.447943,-122.310276,36.083361,-115.151817
RNO,LAS,91,0.83230287,0.98488104,39.4991,-119.767998,36.083361,-115.151817
PHX,SAN,90,0.8413977,0.99281913,33.435302,-112.005905,32.733601,-117.190002
LAS,DFW,89,0.8340141,0.9931872,36.083361,-115.151817,32.896801,-97.038002
SAN,DEN,89,0.85996056,0.9913293,32.733601,-117.190002,39.860027,-104.673792
SNA,LAS,89,0.8286384,0.9850863,33.675063,-117.869281,36.083361,-115.151817
SAN,OAK,89,0.82109916,0.9817578,32.733601,-117.190002,37.720085,-122.221184
CLT,MCO,88,0.84287775,0.99455607,35.2140007019043,-80.94309997558594,28.429399490356445,-81.30899810791016
LAX,PHX,88,0.8161321,0.99214023,33.942501,-118.407997,33.435302,-112.005905
DEN,SEA,88,0.84672,0.99129796,39.860027,-104.673792,47.447943,-122.310276
MCO,PHL,87,0.8433739,0.9957176,28.429399490356445,-81.30899810791016,39.871899,-75.241096
PHL,MCO,85,0.7995643,0.9918698,39.871899,-75.241096,28.429399490356445,-81.30899810791016
SMF,SAN,85,0.8483457,0.9851467,38.6954,-121.591003,32.733601,-117.190002
BOS,ORD,84,0.8822818,0.9913263,42.36197,-71.0079,41.9786,-87.9048
MCO,BWI,84,0.84146374,0.99064094,28.429399490356445,-81.30899810791016,39.1754,-76.668297
BOS,LGA,82,0.8835582,0.9912117,42.36197,-71.0079,40.777199,-73.872597
LGA,ORD,80,0.87060326,0.9943802,40.777199,-73.872597,41.9786,-87.9048
BOS,PHL,80,0.9100893,0.9916134,42.36197,-71.0079,39.871899,-75.241096
DEN,STL,79,0.8702875,0.9927517,39.860027,-104.673792,38.748697,-90.370003
SJC,LAS,79,0.803059,0.98495203,37.362452,-121.929188,36.083361,-115.151817
